species id,,,,,,,,,,,,,661,645,658,673,670,665,650,382,643,653,646,509,647,644,660,666,654,651,659,676,663,408,662,675,675,356,649,672,667,657,652,656,664,655,669,674,648,668,671
species gername,,,,,,,,,,,,,Braunbrustigel,Eichhörnchen,Feldhase,Wildkaninchen,Feldspitzmaus,Waldspitzmaus,Wanderratte,Maulwurf,Hausmaus,Waldmaus ,Steinmarder,Hermelin,Europäischer Iltis,Mauswiesel ,Waschbär,Marderhund,Europäischer Dachs,Bisamratte,Fischotter,Europäischer Biber,Nutria,Rotfuchs,Wildschwein,Reh,Reh,Damhirsch,Europäischer Mufflon,Wasserfledermaus,Großer Abendsegler,Baummarder,Brandmaus,Feldmaus,Breitflügelfledermaus,Zweifarbfledermaus,Zwergfledermaus,Ostschermaus,Rötelmaus,Zwergmaus,Großes Mausohr
genus,,,,,,,,,,,,,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,female,male,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex
gername,engname,character id,gerdescription,engdescription,weight,singleChoice,value id,value gername,value engname,value colors,value dots,value image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Größe,Size,22,"Du kannst mehrere Größen auswählen, wenn du dir unsicher bist oder das Tier vermutlich zwischen zwei Größen liegt.","You can select several sizes, if you are unsure or the animal is probably between two sizes.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,114,"wie Maulwurf, Maus und kleiner (bis 20 cm)","Like mole, mouse and smaller (up to 20 cm)",,,/uploads/Groesse_1_f3bebfd516.svg,0,0,0,0,100,100,0,100,100,100,0,70,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,100,100,70,70,70,100,100,100,70
,,,,,,,115,"wie Igel, Eichhörnchen (20−40 cm)","Like hedgehog, squirrel (20-40 cm)",,,/uploads/Groesse_2_db043210e0.svg,100,100,0,100,0,0,100,0,0,0,0,30,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,30,30,0,0,0,30,30,30,0,0,0,30
,,,,,,,116,"wie Fuchs, Waschbär (40−100 cm)","Like fox, raccoon (40-100 cm)",,,/uploads/Groesse_3_48aee0bb87.svg,0,0,100,0,0,0,0,0,0,0,100,0,0,0,100,100,100,0,100,100,100,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
,,,,,,,117,"wie Reh, Wildschwein und größer (über 100 cm)","Like roe deer, wild boar and larger (over 100 cm)",,,/uploads/Groesse_4_c697f2505b.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
Fußspuren,Prints,23,"Wenn du dir unsicher bist oder keine Fußspuren sehen kannst, überspringe einfach dieses Merkmal. ","If you are unsure or can not see any prints, just skip this trait. ",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,118,5 fingerartige Zehen ,5 finger-like toes,,,/uploads/Fussspuren_1_4485aeb180.svg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,119,5 Zehen + 4 Zehen (Vorder- und Hinterfuß dicht zusammen),5 toes + 4 toes (front and back foot close together),,,/uploads/Fussspuren_2_3899b0634f.svg,0,100,100,100,100,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,100,100,100,0
,,,,,,,120,4 Zehen mit Zehenballen,4 toes with pad,,,/uploads/Fussspuren_3_961ee23adc.svg,0,0,0,0,0,0,0,0,0,0,0,30,30,10,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,121,5 Zehen mit Zehenballen,5 toes with pad,,,/uploads/Fussspuren_4_db16ad0952.svg,0,0,0,0,0,0,0,0,0,0,100,70,70,90,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
,,,,,,,122,2 parallele Zehen,2 parallel toes,,,/uploads/Fussspuren_5_593d7800fb.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,123,4 parallele Zehen,4 parallel toes,,,/uploads/Fussspuren_6_0696c85df2.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,90,100,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,124,hinterlässt keine Fußspuren,No footprints,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,100,100,100,0,0,0,100